min,max,mean,median
21.9,21.9,21.9,21.9
20.2,20.2,20.2,20.2
20.5,20.5,20.5,20.5
19.2,19.2,19.2,19.2
18.2,18.2,18.2,18.2
17.7,17.7,17.7,17.7
17.4,17.4,17.4,17.4
16.4,16.4,16.4,16.4
15.8,15.8,15.8,15.8
15.0,15.0,15.0,15.0
14.1,14.1,14.1,14.1
13.3,13.3,13.3,13.3
13.5,13.5,13.5,13.5
13.0,13.0,13.0,13.0
12.8,12.8,12.8,12.8
11.8,11.8,11.8,11.8
12.0,12.0,12.0,12.0
11.8,11.8,11.8,11.8
11.0,11.0,11.0,11.0
10.5,10.5,10.5,10.5
10.7,10.7,10.7,10.7
10.2,10.2,10.2,10.2
10.2,10.2,10.2,10.2
10.0,10.0,10.0,10.0
10.2,10.2,10.2,10.2
9.2,9.2,9.2,9.2
9.5,9.5,9.5,9.5
9.0,9.0,9.0,9.0
10.0,10.0,10.0,10.0
9.4,9.4,9.4,9.4
9.7,9.7,9.7,9.7
10.2,10.2,10.2,10.2
10.2,10.2,10.2,10.2
10.3,10.3,10.3,10.3
11.0,11.0,11.0,11.0
11.2,11.2,11.2,11.2
11.5,11.5,11.5,11.5
12.5,12.5,12.5,12.5
13.3,13.3,13.3,13.3
15.9,15.9,15.9,15.9
16.4,16.4,16.4,16.4
18.9,18.9,18.9,18.9
20.4,20.4,20.4,20.4
21.7,21.7,21.7,21.7
23.7,23.7,23.7,23.7
25.6,25.6,25.6,25.6
27.8,27.8,27.8,27.8
29.4,29.4,29.4,29.4
29.9,29.9,29.9,29.9
32.2,32.2,32.2,32.2
37.6,37.6,37.6,37.6
29.6,29.6,29.6,29.6
29.4,29.4,29.4,29.4
29.8,29.8,29.8,29.8
28.3,28.3,28.3,28.3
27.0,27.0,27.0,27.0
26.1,26.1,26.1,26.1
25.8,25.8,25.8,25.8
25.8,25.8,25.8,25.8
25.1,25.1,25.1,25.1
25.8,25.8,25.8,25.8
24.5,24.5,24.5,24.5
24.3,24.3,24.3,24.3
25.0,25.0,25.0,25.0
23.7,23.7,23.7,23.7
24.0,24.0,24.0,24.0
23.5,23.5,23.5,23.5
22.5,22.5,22.5,22.5
23.7,23.7,23.7,23.7
23.0,23.0,23.0,23.0
22.7,22.7,22.7,22.7
22.7,22.7,22.7,22.7
23.7,23.7,23.7,23.7
22.7,22.7,22.7,22.7
23.3,23.3,23.3,23.3
22.4,22.4,22.4,22.4
23.2,23.2,23.2,23.2
24.0,24.0,24.0,24.0
24.0,24.0,24.0,24.0
23.8,23.8,23.8,23.8
24.7,24.7,24.7,24.7
23.2,23.2,23.2,23.2
23.8,23.8,23.8,23.8
24.5,24.5,24.5,24.5
25.1,25.1,25.1,25.1
23.3,23.3,23.3,23.3
23.0,23.0,23.0,23.0
23.0,23.0,23.0,23.0
22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5
21.7,21.7,21.7,21.7
21.7,21.7,21.7,21.7
21.5,21.5,21.5,21.5
20.7,20.7,20.7,20.7
21.4,21.4,21.4,21.4
20.4,20.4,20.4,20.4
20.4,20.4,20.4,20.4
20.2,20.2,20.2,20.2
20.2,20.2,20.2,20.2
20.2,20.2,20.2,20.2
20.4,20.4,20.4,20.4
20.7,20.7,20.7,20.7
21.2,21.2,21.2,21.2
21.5,21.5,21.5,21.5
21.4,21.4,21.4,21.4
22.0,22.0,22.0,22.0
22.0,22.0,22.0,22.0
22.2,22.2,22.2,22.2
23.7,23.7,23.7,23.7
24.0,24.0,24.0,24.0
23.5,23.5,23.5,23.5
23.7,23.7,23.7,23.7
24.5,24.5,24.5,24.5
25.8,25.8,25.8,25.8
26.6,26.6,26.6,26.6
26.1,26.1,26.1,26.1
27.0,27.0,27.0,27.0
27.8,27.8,27.8,27.8
27.3,27.3,27.3,27.3
27.9,27.9,27.9,27.9
28.3,28.3,28.3,28.3
28.4,28.4,28.4,28.4
28.8,28.8,28.8,28.8
28.9,28.9,28.9,28.9
28.8,28.8,28.8,28.8
28.6,28.6,28.6,28.6
28.9,28.9,28.9,28.9
29.1,29.1,29.1,29.1
29.4,29.4,29.4,29.4
29.4,29.4,29.4,29.4
29.3,29.3,29.3,29.3
28.9,28.9,28.9,28.9
29.3,29.3,29.3,29.3
28.8,28.8,28.8,28.8
28.3,28.3,28.3,28.3
27.9,27.9,27.9,27.9
27.6,27.6,27.6,27.6
26.6,26.6,26.6,26.6
25.5,25.5,25.5,25.5
26.0,26.0,26.0,26.0
24.5,24.5,24.5,24.5
24.0,24.0,24.0,24.0
22.7,22.7,22.7,22.7
22.0,22.0,22.0,22.0
